# init_date: 2026-05-01
# valid_start: 2026-07-01
# valid_end: 2026-07-31
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall total (mm): ensemble mean/median/sd/quantiles, anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-20T21:03:03.529270+00:00
# software_version: 0.1.0-phase1
# no_rain_threshold_mm: 1.0
# spatial_resolution_deg: 0.25
# ensemble_statistic: median
lat,lon,spatial_ref,clim_year,median
3.875,39.125,0,2026,4.318193
3.875,39.375,0,2026,4.5245047
3.875,39.625,0,2026,3.032513
3.875,39.875,0,2026,0.1446462
3.875,40.125,0,2026,0.013986345
3.875,40.375,0,2026,
3.875,40.625,0,2026,
3.875,40.875,0,2026,
3.875,41.125,0,2026,0.0017166138
3.875,41.375,0,2026,0.11529158
3.875,41.625,0,2026,0.0
3.875,41.875,0,2026,0.0
3.875,42.125,0,2026,
3.875,42.375,0,2026,
3.875,42.625,0,2026,
3.875,42.875,0,2026,
3.875,43.125,0,2026,
3.875,43.375,0,2026,
3.875,43.625,0,2026,
3.875,43.875,0,2026,
3.875,44.125,0,2026,
3.875,44.375,0,2026,
3.875,44.625,0,2026,
3.875,44.875,0,2026,
3.875,45.125,0,2026,
3.875,45.375,0,2026,
3.875,45.625,0,2026,
3.875,45.875,0,2026,
3.875,46.125,0,2026,
3.875,46.375,0,2026,
3.875,46.625,0,2026,
3.875,46.875,0,2026,
3.875,47.125,0,2026,
3.875,47.375,0,2026,
3.875,47.625,0,2026,
3.875,47.875,0,2026,
4.125,33.125,0,2026,
4.125,33.375,0,2026,
4.125,33.625,0,2026,
4.125,33.875,0,2026,
4.125,34.125,0,2026,
4.125,34.375,0,2026,
4.125,34.625,0,2026,
4.125,34.875,0,2026,
4.125,35.125,0,2026,
4.125,35.375,0,2026,
4.125,35.625,0,2026,
4.125,35.875,0,2026,
4.125,36.125,0,2026,
4.125,36.375,0,2026,
4.125,36.625,0,2026,
4.125,36.875,0,2026,
4.125,37.125,0,2026,0.0
4.125,37.375,0,2026,0.0
4.125,37.625,0,2026,0.0011444092
4.125,37.875,0,2026,0.11267252
4.125,38.125,0,2026,0.63581717
4.125,38.375,0,2026,2.1824846
4.125,38.625,0,2026,1.7854216
4.125,38.875,0,2026,3.8055565
4.125,39.125,0,2026,3.8662703
4.125,39.375,0,2026,4.3040257
4.125,39.625,0,2026,2.8776855
4.125,39.875,0,2026,0.61038715
4.125,40.125,0,2026,0.57477635
4.125,40.375,0,2026,0.6982882
4.125,40.625,0,2026,0.3971517
4.125,40.875,0,2026,0.7456019
4.125,41.125,0,2026,0.0017166138
4.125,41.375,0,2026,0.30568424
4.125,41.625,0,2026,0.0
4.125,41.875,0,2026,0.0
4.125,42.125,0,2026,0.0
4.125,42.375,0,2026,0.0
4.125,42.625,0,2026,0.0
4.125,42.875,0,2026,
4.125,43.125,0,2026,
4.125,43.375,0,2026,
4.125,43.625,0,2026,
4.125,43.875,0,2026,
4.125,44.125,0,2026,
4.125,44.375,0,2026,
4.125,44.625,0,2026,
4.125,44.875,0,2026,
4.125,45.125,0,2026,
4.125,45.375,0,2026,
4.125,45.625,0,2026,
4.125,45.875,0,2026,
4.125,46.125,0,2026,
4.125,46.375,0,2026,
4.125,46.625,0,2026,
4.125,46.875,0,2026,
4.125,47.125,0,2026,
4.125,47.375,0,2026,
4.125,47.625,0,2026,
4.125,47.875,0,2026,
4.375,33.125,0,2026,
4.375,33.375,0,2026,
4.375,33.625,0,2026,
4.375,33.875,0,2026,
4.375,34.125,0,2026,
4.375,34.375,0,2026,
4.375,34.625,0,2026,
4.375,34.875,0,2026,
4.375,35.125,0,2026,
4.375,35.375,0,2026,
4.375,35.625,0,2026,
4.375,35.875,0,2026,0.4405763
4.375,36.125,0,2026,0.21231346
4.375,36.375,0,2026,0.00023841858
4.375,36.625,0,2026,0.00023841858
4.375,36.875,0,2026,0.0005722046
4.375,37.125,0,2026,0.0005722046
4.375,37.375,0,2026,0.0
4.375,37.625,0,2026,0.00047683716
4.375,37.875,0,2026,0.0014305115
4.375,38.125,0,2026,0.004673004
4.375,38.375,0,2026,0.30170324
4.375,38.625,0,2026,2.4224582
4.375,38.875,0,2026,2.8619094
4.375,39.125,0,2026,3.1286552
4.375,39.375,0,2026,3.4282937
4.375,39.625,0,2026,2.6285775
4.375,39.875,0,2026,2.7048702
4.375,40.125,0,2026,1.1335218
4.375,40.375,0,2026,0.82617724
4.375,40.625,0,2026,1.1145725
4.375,40.875,0,2026,1.1949664
4.375,41.125,0,2026,0.7143787
4.375,41.375,0,2026,0.8798033
4.375,41.625,0,2026,0.0
4.375,41.875,0,2026,0.0
